"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Director","0.0","Director-{academy_awards_1880|golden_globes_1733}","{Milos Forman|Milo Forman}","Milos Forman","true","Milos Forman"
"Date","0.6666666666666666","Date-{golden_globes_2042|academy_awards_2452|actors_37}","{1965-01-01T00:00|1964-01-01T00:00|1965-01-01T00:00}","1965-01-01T00:00",,
"Actors","1.0","Actors-{academy_awards_910|actors_68|golden_globes_812}","{[[Actor: Jessica Lange]]|[[Actor: Jessica Lange]]|[[Actor: Jessica Lange]]}","[[Actor: Jessica Lange]]",,
"Actors","0.0","Actors-{actors_132|golden_globes_1330|academy_awards_1430}","{[[Actor: F. Murray Abraham]]|[[Actor: F. Murray Abraham], [Actor: Tom Hulce], [Actor: Jeffrey Jones]]|[[Actor: F. Murray Abraham], [Actor: Tom Hulce]]}","[[Actor: Tom Hulce], [Actor: F. Murray Abraham], [Actor: Jeffrey Jones]]","false","[[Actor: F. Murray Abraham], [Actor: Tom Hulce]]"
"Title","1.0","Title-{academy_awards_1435|golden_globes_1325|actors_58}","{Places in the Heart|Places In The Heart|Places in the Heart}","Places in the Heart",,
"Date","0.6666666666666666","Date-{actors_142|academy_awards_842|golden_globes_759}","{1996-01-01T00:00|1995-01-01T00:00|1996-01-01T00:00}","1996-01-01T00:00",,
"Actors","0.6666666666666666","Actors-{academy_awards_2955|golden_globes_2211|actors_28}","{[[Actor: Anna Magnani], [Actor: Marisa Pavan]]|[[Actor: Anna Magnani], [Actor: Marisa Pavan]]|[[Actor: Anna Magnani]]}","[[Actor: Anna Magnani], [Actor: Marisa Pavan]]",,
"Date","0.6666666666666666","Date-{academy_awards_409|actors_77|golden_globes_366}","{2003-01-01T00:00|2004-01-01T00:00|2004-01-01T00:00}","2004-01-01T00:00",,
"Date","0.0","Date-{academy_awards_3186|actors_102}","{1951-01-01T00:00|1952-01-01T00:00}","1952-01-01T00:00","false","1951-01-01T00:00"
"Actors","1.0","Actors-{actors_3|academy_awards_4500}","{[[Actor: Norma Shearer]]|[[Actor: Norma Shearer]]}","[[Actor: Norma Shearer]]",,
"Title","1.0","Title-{actors_70|academy_awards_781|golden_globes_720}","{Fargo|Fargo|Fargo}","Fargo",,
"Title","1.0","Title-{golden_globes_1286|academy_awards_1383|actors_133}","{Kiss Of The Spider Woman|Kiss of the Spider Woman|Kiss of the Spider Woman}","Kiss Of The Spider Woman",,
"Actors","0.0","Actors-{academy_awards_4080|actors_90}","{[[Actor: Robert Donat], [Actor: Greer Garson]]|[[Actor: Robert Donat]]}","[[Actor: Robert Donat], [Actor: Greer Garson]]","true","[[Actor: Robert Donat], [Actor: Greer Garson]]"
"Title","1.0","Title-{actors_142|academy_awards_842|golden_globes_759}","{Leaving Las Vegas|Leaving Las Vegas|Leaving Las Vegas}","Leaving Las Vegas",,
"Actors","0.6666666666666666","Actors-{golden_globes_924|actors_139|academy_awards_1012}","{[[Actor: Al Pacino], [Actor: Chris O'Donnell]]|[[Actor: Al Pacino]]|[[Actor: Al Pacino]]}","[[Actor: Al Pacino], [Actor: Chris O'Donnell]]",,
"Date","0.6666666666666666","Date-{golden_globes_1125|actors_62|academy_awards_1229}","{1989-01-01T00:00|1989-01-01T00:00|1988-01-01T00:00}","1989-01-01T00:00",,
"Date","0.6666666666666666","Date-{academy_awards_1279|golden_globes_1189|actors_61}","{1987-01-01T00:00|1988-01-01T00:00|1988-01-01T00:00}","1988-01-01T00:00",,
"Actors","0.0","Actors-{golden_globes_372|academy_awards_402|actors_150}","{[[Actor: Sean Penn], [Actor: Tim Robbins]]|[[Actor: Sean Penn], [Actor: Tim Robbins], [Actor: Marcia Gay Harden]]|[[Actor: Sean Penn]]}","[[Actor: Marcia Gay Harden], [Actor: Sean Penn], [Actor: Tim Robbins]]",,
"Director","1.0","Director-{academy_awards_1069|golden_globes_974}","{Jonathan Demme|Jonathan Demme}","Jonathan Demme",,
"Actors","1.0","Actors-{actors_64|golden_globes_1020|academy_awards_1122}","{[[Actor: Kathy Bates]]|[[Actor: Kathy Bates]]|[[Actor: Kathy Bates]]}","[[Actor: Kathy Bates]]",,
"Date","0.0","Date-{academy_awards_3816|actors_15}","{1942-01-01T00:00|1943-01-01T00:00}","1942-01-01T00:00","true","1942-01-01T00:00"
"Actors","1.0","Actors-{actors_19|academy_awards_3488}","{[[Actor: Olivia de Havilland]]|[[Actor: Olivia de Havilland]]}","[[Actor: Olivia de Havilland]]",,
"Actors","0.6666666666666666","Actors-{actors_66|academy_awards_1022|golden_globes_920}","{[[Actor: Emma Thompson]]|[[Actor: Emma Thompson], [Actor: Vanessa Redgrave]]|[[Actor: Emma Thompson]]}","[[Actor: Emma Thompson], [Actor: Vanessa Redgrave]]",,
"Title","1.0","Title-{actors_120|golden_globes_1953|academy_awards_2187}","{True Grit|True Grit|True Grit}","True Grit",,
"Date","0.6666666666666666","Date-{academy_awards_2955|golden_globes_2211|actors_28}","{1955-01-01T00:00|1956-01-01T00:00|1956-01-01T00:00}","1956-01-01T00:00",,
"Title","1.0","Title-{academy_awards_2566|actors_113|golden_globes_2093}","{To Kill a Mockingbird|To Kill a Mockingbird|To Kill a Mockingbird}","To Kill a Mockingbird",,
"Title","1.0","Title-{academy_awards_3000|actors_105|golden_globes_2217}","{On the Waterfront|On The Waterfront|On The Waterfront}","On the Waterfront",,
"Director","1.0","Director-{academy_awards_3000|golden_globes_2217}","{Elia Kazan|Elia Kazan}","Elia Kazan",,
"Actors","0.6666666666666666","Actors-{golden_globes_2042|academy_awards_2452|actors_37}","{[[Actor: Dick Van Dyke]]|[[Actor: Julie Andrews]]|[[Actor: Julie Andrews]]}","[[Actor: Julie Andrews], [Actor: Dick Van Dyke]]",,
"Director","1.0","Director-{academy_awards_3480}","{William Wyler}","William Wyler","true","William Wyler"
"Director","1.0","Director-{golden_globes_1027|academy_awards_1117}","{Barbet Schroeder|Barbet Schroeder}","Barbet Schroeder",,
"Date","0.6666666666666666","Date-{academy_awards_2506|golden_globes_2062|actors_36}","{1963-01-01T00:00|1964-01-01T00:00|1964-01-01T00:00}","1964-01-01T00:00",,
"Title","1.0","Title-{golden_globes_2187|actors_108|academy_awards_2837}","{Bridge On The River Kwai, The|The Bridge On The River Kwai|The Bridge on the River Kwai}","The Bridge On The River Kwai",,
"Title","1.0","Title-{academy_awards_2389|golden_globes_2023|actors_116}","{Cat Ballou|Cat Ballou|Cat Ballou}","Cat Ballou",,
"Date","0.6666666666666666","Date-{academy_awards_3305|golden_globes_2263|actors_22}","{1949-01-01T00:00|1950-01-01T00:00|1950-01-01T00:00}","1950-01-01T00:00",,
"Director","1.0","Director-{academy_awards_1532|golden_globes_1436}","{Richard Attenborough|Richard Attenborough}","Richard Attenborough",,
"Director","1.0","Director-{academy_awards_664}","{Roberto Benigni}","Roberto Benigni",,
"Director","1.0","Director-{academy_awards_3816}","{William Wyler}","William Wyler","true","William Wyler"
"Actors","0.0","Actors-{academy_awards_3910|actors_92}","{[[Actor: Gary Cooper], [Actor: Walter Brennan], [Actor: Margaret Wycherly]]|[[Actor: Gary Cooper]]}","[[Actor: Walter Brennan], [Actor: Margaret Wycherly], [Actor: Gary Cooper]]","true","[[Actor: Gary Cooper], [Actor: Walter Brennan], [Actor: Margaret Wycherly]]"
